time,open,high,low,close
1778564100,153822,153888,153801,153888
1778564400,153891,153891,153809,153829
1778564700,153808,153917,153795,153850
1778565000,153864,153864,153795,153795
1778565300,153755,153944,153755,153848
1778565600,153691,153793,153597,153615
1778565900,153611,153701,153510,153525
1778566200,153537,153600,153463,153582
1778566500,153574,153610,153421,153535
1778566800,153515,153548,153356,153370
1778567100,153356,153401,153292,153292
1778567400,153281,153398,153237,153398
1778567700,153408,153453,153324,153329
1778568000,153329,153460,153329,153346
1778568300,153415,153488,153275,153277
1778568600,153270,153329,153216,153286
1778568900,153288,153288,153116,153152
1778569200,153180,153210,153090,153090
1778569500,153136,153188,153016,153148
1778569800,153188,153330,153130,153258
1778570100,153250,153461,153240,153450
1778570400,153475,153475,153440,153459
1778570700,153459,153560,153427,153525
1778571000,153461,153552,153369,153552
1778571300,153552,153610,153516,153592
1778571600,153599,153676,153597,153673
1778571900,153590,153690,153590,153635
1778572200,153600,153730,153600,153729
1778572500,153677,153808,153677,153680
1778572800,153687,153892,153687,153840
1778573100,153811,153850,153724,153741
1778573400,153701,153715,153596,153672
1778573700,153596,153600,153531,153566
1778574000,153600,153672,153600,153650
1778574300,153630,153630,153630,153630
1778574600,153639,153639,153601,153601
1778574900,153621,153644,153592,153620
1778575200,153628,153630,153558,153630
1778575500,153600,153729,153600,153690
1778575800,153685,153699,153673,153675
1778576100,153678,153700,153671,153700
1778576400,153645,153645,153596,153640
1778576700,153640,153640,153626,153626
1778577000,153631,153655,153521,153550
1778577300,153516,153580,153516,153550
1778577600,153540,153540,153540,153540
1778577900,153531,153543,153423,153423
1778578200,153431,153594,153431,153526
1778578500,153545,153545,153480,153540
1778578800,153585,153585,153377,153377
1778579100,153377,153532,153344,153532
1778579400,153568,153568,153437,153437
1778579700,153469,153497,153439,153460
1778580000,153504,153631,153504,153587
1778580300,153602,153740,153602,153727
1778580600,153750,153750,153701,153737
1778580900,153670,153670,153630,153670
1778581200,153668,153688,153615,153660
1778581500,153610,153632,153524,153524
1778581800,153526,153526,153344,153430
1778582100,153401,153401,153150,153179
1778582400,153123,153345,153121,153297
1778582700,153300,153320,153200,153235
1778583000,153221,153320,153221,153300
1778583300,153270,153374,153255,153370
1778583600,153390,153390,153247,153319
1778583900,153290,153290,153142,153256
1778584200,153249,153383,153249,153345
1778584500,153377,153415,153371,153415
1778584800,153398,153402,153398,153398
1778585100,153334,153538,153310,153538
1778585400,153550,153589,153490,153499
1778585700,153529,153639,153529,153625
1778586000,153640,153738,153640,153738
1778586300,153746,153746,153647,153706
1778586600,153729,153750,153671,153726
1778586900,153733,153829,153733,153800
1778587200,153828,153829,153749,153763
1778587500,153713,153713,153560,153601
1778587800,153631,153808,153631,153808
1778588100,153798,153808,153656,153698
1778588400,153809,153812,153599,153599
1778588700,153577,153600,153510,153572
1778589000,153612,153677,153333,153459
1778589300,153400,153648,153400,153647
1778589600,153669,153799,153669,153703
1778589900,153727,153892,153727,153800
1778590200,153845,153980,153825,153949
1778590500,153922,153966,153730,153816
1778590800,153868,153903,153586,153600
1778591100,153604,153675,153508,153675
1778591400,153636,153653,153431,153482
1778591700,153478,153478,153274,153464
1778592000,153437,153649,153437,153531
1778592300,153515,153623,153515,153550
1778592600,153611,153643,153411,153477
1778592900,153515,153750,153405,153750
1778593200,153790,153915,153737,153840
1778593500,153910,153923,153674,153764
1778593800,153790,153817,153668,153817
1778594100,153770,153770,153356,153461
1778594400,153460,153750,153365,153738
1778594700,153701,153792,153650,153787
1778595000,153724,153867,153629,153800
1778595300,153786,153825,153639,153705
1778595600,153718,153764,153664,153741
1778595900,153700,153700,153538,153538
1778596200,153505,153610,153252,153610
1778596500,153597,153730,153522,153660
1778596800,153677,153680,153608,153670
1778597100,153627,153637,153459,153459
1778597400,153480,153508,153300,153477
1778597700,153494,153534,153260,153376
1778598000,153390,153438,153225,153255
1778598300,153254,153450,153230,153429
1778598600,153429,153429,153202,153202
1778598900,153231,153244,153040,153086
1778599200,153077,153084,152559,152724
1778599500,152694,153040,152603,153040
1778599800,153062,153222,153031,153222
1778600100,153131,153285,153098,153285
1778600400,153255,153295,153200,153215
1778600700,153255,153310,153193,153246
1778601000,153278,153288,153235,153271
1778601300,153270,153332,153265,153295
1778601600,153287,153400,153250,153374
1778601900,153358,153390,153320,153338
1778602200,153335,153432,153305,153400
1778602500,153420,153468,153360,153370
1778602800,153376,153387,153216,153216
1778603100,153241,153281,153212,153250
1778603400,153250,153250,153158,153200
1778603700,153252,153334,153252,153306
1778604000,153324,153333,153324,153333
1778604300,153259,153280,153240,153255
1778604600,153268,153379,153268,153300
1778604900,153400,153430,153400,153426
1778605200,153375,153500,153354,153497
1778605500,153500,153530,153475,153500
1778605800,153520,153520,153429,153499
1778606100,153510,153550,153490,153520
1778606400,153510,153520,153434,153434
1778606700,153490,153530,153418,153441
1778607000,153441,153445,153375,153380
1778607300,153392,153429,153340,153429
1778607600,153430,153440,153393,153434
1778607900,153430,153499,153405,153499
1778608200,153500,153533,153410,153413
1778608500,153465,153559,153417,153417
1778643000,158045,162648,154851,162648
1778643300,162648,162648,162648,162648
1778643600,162648,162648,162648,162648
1778643900,162648,164497,162648,163485
1778644200,163468,163498,162900,162900
